,site,trtmt,var,whatDoesNaMean? (didnotmeasure or 0 or doublecheck your data)
49528,"Wolf Creek, YK",SC,forb,
49529,"Wolf Creek, YK",SC,graminoid,
49530,"Wolf Creek, YK",SC,litter,
49531,"Wolf Creek, YK",SC,nat.seedling.sp.y0,
49532,"Wolf Creek, YK",SC,nat.seedling.sp.y1,
49533,"Wolf Creek, YK",SC,nat.seedling.count.y1,
49534,"Wolf Creek, YK",SC,nat.seedling.sp.y2,
49535,"Wolf Creek, YK",SC,nat.seedling.count.y2,
49536,"Wolf Creek, YK",SC,exp.seedling.sp,
49537,"Wolf Creek, YK",SC,exp.seedling.dead,
49538,"Wolf Creek, YK",SC,exp.seedling.missing,
49539,"Wolf Creek, YK",SC,easting,
49540,"Wolf Creek, YK",SC,northing,
49541,"Wolf Creek, YK",SC,scar.photo,
49542,"Wolf Creek, YK",SC,date.seeded,
49543,"Wolf Creek, YK",SC,date.counted,
49544,"Wolf Creek, YK",SC,provenance,
49912,"Wolf Creek, YK",SC,exp.seedling.count.y1,
49913,"Wolf Creek, YK",SC,exp.seedling.count.y2,
55622,"Wolf Creek, YK",SD,tussock.treat,
55623,"Wolf Creek, YK",SD,rock,
55624,"Wolf Creek, YK",SD,excrement,
55625,"Wolf Creek, YK",SD,litter,
55626,"Wolf Creek, YK",SD,nat.seedling.sp.y0,
55627,"Wolf Creek, YK",SD,nat.seedling.sp.y1,
55628,"Wolf Creek, YK",SD,nat.seedling.count.y1,
55629,"Wolf Creek, YK",SD,nat.seedling.sp.y2,
55630,"Wolf Creek, YK",SD,nat.seedling.count.y2,
55631,"Wolf Creek, YK",SD,exp.seedling.sp,
55632,"Wolf Creek, YK",SD,exp.seedling.dead,
55633,"Wolf Creek, YK",SD,exp.seedling.missing,
55634,"Wolf Creek, YK",SD,easting,
55635,"Wolf Creek, YK",SD,northing,
55636,"Wolf Creek, YK",SD,scar.photo,
55637,"Wolf Creek, YK",SD,date.seeded,
55638,"Wolf Creek, YK",SD,date.counted,
55639,"Wolf Creek, YK",SD,provenance,
55893,"Wolf Creek, YK",SD,moss,
55894,"Wolf Creek, YK",SD,lichen,
55895,"Wolf Creek, YK",SD,mineral,
55896,"Wolf Creek, YK",SD,organic,
55898,"Wolf Creek, YK",SD,shrub,
55900,"Wolf Creek, YK",SD,forb,
55901,"Wolf Creek, YK",SD,graminoid,
55909,"Wolf Creek, YK",SD,exp.seedling.count.y1,
55910,"Wolf Creek, YK",SD,exp.seedling.count.y2,
60549,"Wolf Creek, YK",SS,tussock.treat,
60550,"Wolf Creek, YK",SS,moss,
60551,"Wolf Creek, YK",SS,lichen,
60552,"Wolf Creek, YK",SS,mineral,
60553,"Wolf Creek, YK",SS,organic,
60554,"Wolf Creek, YK",SS,rock,
60555,"Wolf Creek, YK",SS,shrub,
60556,"Wolf Creek, YK",SS,excrement,
60557,"Wolf Creek, YK",SS,forb,
60558,"Wolf Creek, YK",SS,graminoid,
60559,"Wolf Creek, YK",SS,litter,
60560,"Wolf Creek, YK",SS,nat.seedling.sp.y0,
60561,"Wolf Creek, YK",SS,nat.seedling.sp.y1,
60562,"Wolf Creek, YK",SS,nat.seedling.count.y1,
60563,"Wolf Creek, YK",SS,nat.seedling.sp.y2,
60564,"Wolf Creek, YK",SS,nat.seedling.count.y2,
60565,"Wolf Creek, YK",SS,exp.seedling.sp,
60566,"Wolf Creek, YK",SS,exp.seedling.dead,
60567,"Wolf Creek, YK",SS,exp.seedling.missing,
60568,"Wolf Creek, YK",SS,easting,
60569,"Wolf Creek, YK",SS,northing,
60570,"Wolf Creek, YK",SS,scar.photo,
60571,"Wolf Creek, YK",SS,date.seeded,
60572,"Wolf Creek, YK",SS,date.counted,
60573,"Wolf Creek, YK",SS,provenance,
60934,"Wolf Creek, YK",SS,exp.seedling.count.y1,
60935,"Wolf Creek, YK",SS,exp.seedling.count.y2,
